step,speed,distance,reward
0,20.004686,12.5,-0.004921339508146084
0,20.010796,12.454532,-0.006647839210927487
0,20.018192,12.365702,-0.0083070947974921
0,20.0266,12.235611,-0.009737131744623184
0,20.035856,12.066361,-0.011048966087400913
0,20.045904,11.8600445,-0.012344019822776355
0,20.056555,11.618727,-0.013477414883673157
0,20.067492,11.3444605,-0.014311982095241583
0,20.078579,11.039293,-0.015015781857073307
0,20.089773,10.70525,-0.015683791115879944
0,20.101187,10.344317,-0.01647194992750869
0,20.112965,9.95843,-0.017426183857023506
0,20.125107,9.549466,-0.018398385718464638
0,20.137472,9.119253,-0.01923882339149685
0,20.149935,8.669591,-0.01995827205479124
0,20.162424,8.202239,-0.02061021458357555
0,20.174885,7.7189174,-0.021206022351980103
0,20.187277,7.2212987,-0.02175601907074434
0,20.199612,6.7110095,-0.022314674332737816
0,20.211948,6.1896224,-0.02293407510966059
0,20.224348,5.6586514,-0.023616942465305258
0,20.236845,5.1195493,-0.024340423829853464
0,20.24946,4.573714,-10.025087369196116
0,20.262205,4.0224853,-10.025856326781213
0,20.275106,3.467149,-10.026655363105238
0,20.288183,2.9089334,-10.027485559470952
0,20.301437,2.349011,-10.028326400481165
0,20.314838,1.7885007,-10.029142931811512
